Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9920424403183017,0.9847623424636437,0.9958516379288084,0.9575596816976122,0.944076395046559,0.9678475194940063
2,0.9813561662753749,0.9715477252416141,0.9878045074057112,0.9388712492481237,0.9232395174004395,0.9514036947038503
3,0.9751054900570608,0.9641463350017805,0.9827447815722281,0.9236123474917005,0.9064928586124734,0.9377057399840455
4,0.9742108978643479,0.9630994473169122,0.9820077098660766,0.9109971544527893,0.8927831632660238,0.9262455336293782
5,0.9697255806550277,0.9578868088751831,0.9782739879550885,0.8992013745644568,0.8800479412430798,0.915444501430934
6,0.9652361103742167,0.952724885464604,0.9744806178168488,0.8882466370063109,0.8682827956154879,0.9053510420268399
7,0.9643365427037841,0.951696086676872,0.9737148506385147,0.8717976252098981,0.8507231618625035,0.8900912110067924
8,0.962535727497988,0.9496415875874625,0.9721767316025154,0.8598803075151256,0.8380676760276944,0.8789696364154921
9,0.9616353198950903,0.948616909275271,0.9714051150746924,0.854380007040615,0.8322445516737264,0.8738191296717545
10,0.9598328169524561,0.9465701661878589,0.9698557831254395,0.8507092014249731,0.8283638084332036,0.870376298180264
11,0.9562278110671888,0.9424948297956487,0.9667390945657598,0.8424320308165137,0.8196280966446742,0.8625983208451946
12,0.9508100897580262,0.9364089313553177,0.9620161244476031,0.835980144366059,0.8128326535589698,0.8565217352189468
13,0.9490024660132386,0.9343877958003941,0.9604308530666861,0.8276757058458659,0.8041036937254734,0.8486829236604374
14,0.9417650782838721,0.9263371735676482,0.9540421119345626,0.8193619989791104,0.795383944418776,0.8408166855391322
15,0.9399505020251362,0.9243276740752187,0.9524311450008098,0.8110482921123555,0.7866829021955843,0.8329321448823798
16,0.9381341725526241,0.9223195909043824,0.9508152211478332,0.8054995010602757,0.7808849801435285,0.8276605069374003
17,0.937226007816368,0.9213168667988515,0.9500059626721249,0.8018003070255553,0.7770239621055155,0.8241419065131925
18,0.9363169622219777,0.9203138928769287,0.949195162861394,0.7971709749988487,0.7721963503762113,0.8197343563802725
19,0.9317717342500265,0.9153113211095845,0.9451290669980572,0.7953170890104795,0.7702643153059703,0.8179680284894096
20,0.9272265062780746,0.9103278680693954,0.9410441428441156,0.7925362600279251,0.7673677759001313,0.815317055576396
21,0.9190450959285624,0.9014007246241982,0.9336487891309448,0.7860476590686324,0.7606161014414279,0.8091246782034952
22,0.9172270047397814,0.8994237975140975,0.931998579310319,0.780479434801322,0.7548291157979957,0.8038037245509917
23,0.9126727495027412,0.8944806444924195,0.9278556510442805,0.7758392479118966,0.7500117945071025,0.7993645356279488
24,0.9117591631669025,0.8934903847848427,0.9270231568458646,0.7730518015122136,0.7471198873991571,0.7966958852372353
25,0.9090184041593866,0.890522865818144,0.9245224710020274,0.7674702000572513,0.7413334865997447,0.7913478025397852
26,0.9053640588160325,0.8865735055269008,0.921181014640856,0.7637491324206099,0.737479453577809,0.7877789215286428
27,0.8998825408010009,0.8806642962604215,0.91615423331943,0.7590921255156067,0.7326595380195253,0.783308890156487
28,0.8907466774426152,0.8708520112536385,0.9077403952619898,0.7507095130865996,0.7239944725258187,0.7752522764314514
29,0.8852651594275837,0.8649846799654437,0.9026723187762578,0.7460525061815965,0.7191863863319868,0.77077065947877
30,0.8806925088107063,0.8601003318970174,0.8984344148306463,0.7376698937525895,0.7105420349304554,0.7626937461049774
31,0.8752053280704525,0.8542512061644104,0.8933369933006796,0.7330069993546589,0.7057386615219978,0.7581958271071336
32,0.8715472075769497,0.8503587662560772,0.8899318203319113,0.7292671677252986,0.7018882767345569,0.7545861502997602
33,0.8660542629913808,0.8445233713899297,0.8848092751919338,0.727394851505208,0.6999613714986391,0.7527782310509821
34,0.8614719653035956,0.8396637031725895,0.8805276597153964,0.7198959355103088,0.6922492925665028,0.7455317972249055
35,0.8541324810411581,0.8318950177082972,0.8736547481452189,0.7114376281740259,0.6835606209486532,0.7373482477686126
36,0.8504627389099392,0.8280176614609407,0.8702113998940825,0.7076783804690113,0.6797028855146149,0.7337073089920141
37,0.8486239005555393,0.8260761051352434,0.8684846277023727,0.7057962571166999,0.6777721611309832,0.7318837069002275
38,0.8467830677994537,0.8241333677655316,0.8667550329468,0.7029693028158318,0.6748730450551307,0.7291438051167254
39,0.8412545602838966,0.8183048026036096,0.8615545967610229,0.7020269847155429,0.6739069671115909,0.7282302175558243
40,0.8384903065261184,0.8153941123296604,0.8589508454660799,0.6992000304146748,0.6710096094685203,0.7254885997083363
41,0.8357260527683398,0.8124857489383583,0.856344804460687,0.6973128508454044,0.6690759781117515,0.7236578347663105
42,0.8311138780841874,0.8076377219330878,0.8519919969177672,0.6906987723143502,0.6623030314452687,0.7172375734946052
43,0.829264903939395,0.8056955685654145,0.8502455810810363,0.6859744305064546,0.657469512706664,0.7126474789770907
44,0.8264883473413835,0.8027806506467937,0.8476214470574088,0.682194957060138,0.6536052407530257,0.7089729222910915
45,0.8255617908981752,0.801808315972855,0.8467453515469445,0.6803052203369802,0.6516739442970765,0.7071348246395511
46,0.8246352344549677,0.8008362225199925,0.8458690195865937,0.6774706152522424,0.6487780409412518,0.704376661667735
47,0.822782121568552,0.7988927530756161,0.8441156522649387,0.6727462734443469,0.6439542890757496,0.699777034656255
48,0.8218555651253439,0.7979213740355171,0.8432386198290066,0.6717987434817491,0.6429870484657073,0.6988542784270305
49,0.8190696140571226,0.795001514494861,0.8406006310846527,0.6661135637061631,0.6371864820761423,0.6933149351767538
50,0.8162836629889009,0.7920837529962429,0.8379605882529019,0.6632709738183697,0.6342880340047298,0.6905434735073332
51,0.8153550126328274,0.7911116253807251,0.8370801239019048,0.6623234438557722,0.6333221544172764,0.6896193897426807
52,0.8125690615646054,0.7881966017943632,0.8344373991915658,0.6604283839305771,0.6313907980594208,0.6877708291374972
53,0.8097831104963842,0.7852835889421758,0.8317927039715921,,,
54,0.8069939608620685,0.7823689403218759,0.8291432509017749,0.657585794042784,0.628494766068157,0.6849970097918189
55,0.806064244317296,0.7813978261784073,0.8282596733520823,0.653795674192393,0.6246352491998166,0.6812967692138034
56,0.7995487134740843,0.7745975394193094,0.8220621301898717,0.6490511482548572,0.6198063577200039,0.6766622686409357
57,0.7967465567679837,0.7716752707128672,0.8193942932149101,0.646204432692336,0.6169105993835036,0.6738800298646977
58,0.7930103478265162,0.7677818246079368,0.8158343317784198,0.6443010323014895,0.6149746856322608,0.6720194379890072
59,0.792076295591149,0.7668089757754424,0.8149438402817524,0.6404886001576936,0.61109833280773,0.668291547796785
60,0.7911422433557824,0.7658363298783851,0.8140531503701627,,,
61,0.7892697173360053,0.7638866792851498,0.8122672574794711,0.6376250147620552,0.6081878320763255,0.6654903730483483
62,0.7892697173360053,0.7638866792851498,0.8122672574794711,0.6309433155055666,0.6014012506350355,0.6589498334742729
63,0.7855112901105958,0.7599747953316568,0.8086812378068192,0.6252161447142908,0.5955892413049163,0.6533387286530296
64,0.7817528628851862,0.7560661277102,0.805092086033337,0.6223525593186531,0.5926849716104521,0.6505314860539186
65,0.7817528628851862,0.7560661277102,0.805092086033337,0.6194889739230152,0.5897818505876486,0.647723124139272
66,0.7808109919660479,0.7550869195384905,0.8041923035403769,,,
67,0.7779853792086311,0.7521504801473078,0.8014918032353083,0.6185344454578021,0.5888143978402267,0.6467867557024879
68,0.777041222195028,0.7511695003915919,0.8005892215229982,0.6166194781344035,0.5868734923938805,0.6449082026596202
69,0.7742053053257036,0.7482238830192074,0.7978772670149838,,,
70,0.7723100659001817,0.7462559395158017,0.7960642289793333,0.6127835871351227,0.5829867904777918,0.6411441117501399
71,0.7704124981706975,0.7442861740281269,0.7942483608084548,0.6099021596094091,0.5800682457856754,0.6383155772203263
72,0.7685149304412128,0.7423171850734666,0.7924317403228015,0.6089416837675043,0.5790956544553004,0.6373724826749121
73,0.7675637981015583,0.7413303568914215,0.7915210565847773,0.6079796905861975,0.578121554560737,0.6364278646521726
74,0.7656615334222483,0.7393572802292845,0.7896991282144583,0.6079796905861975,0.578121554560737,0.6364278646521726
75,0.7647080321352968,0.7383683860113316,0.7887857723247373,0.6060495963303681,0.5761671535780595,0.6345326215764232
76,0.7618475282744414,0.7354028576959339,0.7860445891697716,0.6012166649401736,0.5712751320500946,0.6297852065730069
77,0.759940525700538,0.7334267920614469,0.7842162122094644,0.5992834923840961,0.569319234931458,0.6278853569348903
78,0.757080021839683,0.7304641064917936,0.7814722801961943,0.5983169061060571,0.5683414809115883,0.6269352434787476
79,0.7532660166918759,0.7265164619465811,0.7778111852043711,0.5973503198280179,0.5673638563309741,0.6259850044966201
80,0.7523113069115317,0.7255286663981979,0.7768943848429474,0.5954171472719403,0.5654089947390359,0.6240841506391631
81,0.751356597131187,0.724541054094477,0.7759774071618545,0.5944505609939014,0.5644317573586956,0.6231335361014709
82,0.7494447482835247,0.7225636767951177,0.7741407465543396,0.5896176296037074,0.5595474974186337,0.6183785939076086
83,0.7475304577387395,0.7205843152840772,0.7723011938235729,0.5886510433256685,0.5585710295959708,0.617427232690847
84,0.744659021921561,0.7176166321438051,0.7695405507299202,0.5867146912094653,0.5566150572569966,0.6155211991902886
85,0.743700644801971,0.7166263968399025,0.7686188838809999,0.5867146912094653,0.5566150572569966,0.6155211991902886
86,0.7427422676823808,0.7156363410645552,0.767697043510785,0.5857449148603586,0.5556355422036245,0.6145665165937001
87,,,,0.5838053621621453,0.5536768987801691,0.6126567766337577
88,0.7388988406827308,0.7116669069891497,0.7639990521069814,0.5808814621847057,0.5507242347280898,0.6097777558213149
89,0.7369771271829053,0.7096832606017851,0.7621490226568348,0.5799051908196894,0.5497385137345593,0.6088163146369904
90,0.7331337001832553,0.7057180812540162,0.7584469219287139,0.5779526480896564,0.5477674664923455,0.6068930507346683
91,0.7263900261999664,0.6987661635241125,0.7519458686087197,0.5730712912645752,0.5428421433799141,0.6020826722419236
92,0.7196284169135305,0.6918028617474504,0.7454205193127882,0.5681816044790413,0.5379111438210074,0.5972614220936769
93,0.7157542397026904,0.6878160976987922,0.7416787577348228,0.5662189737209098,0.5359324075161336,0.5953257806996808
94,0.712844669622598,0.6848234582122232,0.7388671719272842,0.5632750275837128,0.5329652950527474,0.5924213609066358
95,0.7118734915985891,0.683824791902739,0.7379284592888009,0.5622919996123622,0.5319746834982175,0.5914513800439277
96,0.7089599575265624,0.6808298001758055,0.735111350812964,0.5603259436696619,0.529993858367136,0.5895110342606792
97,,,,0.5593429156983114,0.5290036445049154,0.5885406695910705
98,0.7041040674065173,0.6758414709825328,0.7304129655604905,0.5524617198988593,0.5220758437764879,0.5817445483012595
99,,,,0.5504956639561588,0.520097656293736,0.57980165576912
100,0.7031328893825082,0.6748442987742631,0.7294728123417833,,,
101,0.7021576703958472,0.6738428455476072,0.7285288456349611,0.5495108774374536,0.5191068753921095,0.5788283880694116
102,0.7011824514091863,0.6728415580480669,0.7275847193958639,0.5475377683622741,0.5171219221162683,0.5768781896090438
103,0.6992292969484367,0.6708364917942856,0.7256935316012013,0.5445727623964135,0.514139767559554,0.5739469731454069
104,0.6982513538757815,0.6698327050605788,0.7247464629772449,0.5416077564305528,0.5111588135732552,0.5710145989967216
105,0.6972734108031265,0.6688290839219094,0.7237992351114196,0.5386427504646919,0.508179057035957,0.5680810698457088
106,0.6933561444502999,0.6648102126384727,0.7200037620919713,0.5356777444988313,0.5052004949822454,0.5651463882349604
