Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9932489451476795,0.9865460589574638,0.996618101445266,0.9805907172995781,0.9709356744967738,0.9870597459310024
2,0.9830530620495004,0.973854455947972,0.9890335841352923,0.9746167094483191,0.9638942997046164,0.9821842626492298
3,0.9770900018810892,0.9667683309045688,0.9842319092488261,0.9651959855432829,0.9530271479496808,0.9742549364122227
4,0.9762366481676555,0.9657667157300729,0.9835317277264803,0.9609024090951367,0.9481445542550585,0.9705702217905184
5,0.971958661102942,0.9607817303397469,0.9799834103724214,0.9514396279849787,0.9375000541498922,0.9623327611199869
6,0.9676769048866287,0.9558473619462389,0.9763761932329632,0.9436833266698842,0.9288708873314041,0.9554852016574584
7,0.9668190352900979,0.9548641884531407,0.9756478501329081,0.9359270253547889,0.9203122105634347,0.9485678885975505
8,0.965101772349973,0.9529010460372513,0.974184783596218,0.9350652140975565,0.9193650536230487,0.9477955255366326
9,0.9633845094098483,0.9509445522165747,0.9727150911746764,0.933338408531356,0.9174689097778624,0.9462461430070181
10,0.9616657145670117,0.9489922282585024,0.9712380617626905,0.9290093806624725,0.9127256338003574,0.9423512214220756
11,0.9590875223027571,0.9460745958537732,0.9690117178134124,0.9238048463170242,0.9070429048484513,0.9376486551196594
12,0.9539218803513956,0.9402623477296869,0.9645170475882043,0.9168654671897606,0.8994984528216702,0.9313465564001855
13,0.9513367262041015,0.9373690153744891,0.9622522280691524,0.9107935104534044,0.8929244967716661,0.9258051652950698
14,0.9444367318164016,0.9296903265812352,0.9561633773042756,0.8994954993504518,0.8807500502455029,0.9154368142704753
15,0.942706994212342,0.9277739039011356,0.9546282742283796,0.8934060714051388,0.8742167012378677,0.9098202099446487
16,0.9401100052475696,0.9249026547021768,0.9523174350946593,0.8890522406478036,0.8695563970234118,0.9057935488494221
17,0.9392443422593126,0.9239472097662194,0.9515455402333338,0.88382252158517,0.8639698040801622,0.9009455865856957
18,0.9375114191186121,0.9220366834723295,0.949998149198132,0.8777151596393695,0.8574604342732985,0.8952693528381991
19,0.9331791112668629,0.9172734972540636,0.9461167295285338,0.8716017207165083,0.8509595788602,0.8895725547768473
20,0.9288468034151133,0.9125277265226337,0.9422181243423547,0.8672349786287503,0.8463251485105163,0.8854945062155675
21,0.9201821877116142,0.9030827847079541,0.9343748608987944,0.8611215397058887,0.8398489230400101,0.8797734250869209
22,0.9175828030005644,0.9002603055179356,0.9320109952849808,0.8558707986101215,0.8342962086190125,0.874849968329053
23,0.913242297782965,0.8955566159991207,0.9280542220353891,0.8471195634505082,0.8250623250562147,0.8666238635684643
24,0.9123717140863177,0.8946143852165873,0.9272593344045675,0.8462444399345471,0.8241402964978359,0.8657999120434474
25,0.9097599629963761,0.8917906048663983,0.9248718048128096,0.8436190693866633,0.821375644858145,0.863326642559076
26,0.9062776282097874,0.88803212294081,0.9216819718002692,0.8409909725972967,0.8186099978408219,0.8608489051990316
27,0.9019247097265506,0.8833440341190457,0.9176848092482527,0.8331066822291969,0.8103253880820592,0.8534035312904091
28,0.8923482890634314,0.8730663864234933,0.9088553772991822,0.8181984573893061,0.7947064274904819,0.8392793886838482
29,0.8862542031869002,0.866549796180352,0.903213201591174,0.8129367309752267,0.7892077938150163,0.8342806400205687
30,0.8818970045478302,0.8619004980589748,0.8991691299762391,0.8103030266632115,0.7864578718031312,0.8317761911902231
31,0.8766683661809456,0.856332184486289,0.8943055257135998,0.8024019137271672,0.7782181977981155,0.8242528858044356
32,0.8731826072696891,0.8526262438969229,0.8910569239147492,0.7971345051031383,0.772733231772122,0.8192293035357879
33,0.867948745487853,0.847070243589736,0.8861706627751312,0.7892246809069666,0.7645077966606323,0.8116745643602127
34,0.8635828061242321,0.8424430758070911,0.8820871822637786,0.7839455860514014,0.7590252238430044,0.8066253137845019
35,0.8557161611291728,0.8341222392576122,0.8747130183766484,0.7751372086800371,0.7498896905291157,0.7981881379711527
36,0.8513413341295345,0.8295035603972187,0.8706033582249424,0.7716018052196947,0.7462265477336611,0.7947980649255856
37,0.8495877989408022,0.8276537179267127,0.8689546234883514,0.7671774829420586,0.7416455394903692,0.7905524393079252
38,0.8478324522487757,0.8258027938447907,0.8673033345025818,0.7645136722373986,0.7388885741904319,0.7879949560794761
39,0.8416823722842764,0.8193249500147782,0.8615107272317296,0.7609577946921084,0.7352102196074863,0.7845791332944306
40,0.8390466237280629,0.8165522937206479,0.8590246759298513,0.758290886533141,0.7324530743488641,0.7820156780178569
41,0.8364108751718488,0.8137817119040465,0.8565365824311957,0.7520681008288828,0.7260250391007599,0.7760290829252758
42,0.8320133416535949,0.8091633234144524,0.8523812816724392,0.7467342845109477,0.7205210849808465,0.7708920366927519
43,0.830250601522973,0.807313281191695,0.850714371163589,0.7422894375793346,0.7159384495126665,0.7666072468924748
44,0.8276036814331019,0.8045366673655721,0.8482099293769491,0.7413983338127326,0.7150199968232052,0.7657479414200693
45,0.8267204331071326,0.8036104943154105,0.8473738633802238,0.7405061577190946,0.7141005044384309,0.7648875277074277
46,0.8249539364551948,0.801758793705784,0.8457010982100509,,,
47,0.8231874398032561,0.7999079449257235,0.8440274972825071,0.7360345021773126,0.7094933144778047,0.7605736225635658
48,0.8223041914772872,0.798982836726558,0.8431903865289995,0.7333482448700966,0.7067271213321786,0.7579806512027452
49,0.8187635921598393,0.7952758800452072,0.8398332048203743,0.7288711493580687,0.7021196327937874,0.753656263104268
50,0.8161081426717537,0.7924978314411694,0.8373131930525071,0.7261848920508527,0.6993568188883338,0.751059988540349
51,0.8152229928423915,0.791572221927328,0.8364727904461681,0.7216967283175351,0.6947427309995432,0.7467201337095049
52,0.8134526931836674,0.7897216059131987,0.8347913939400772,0.7181017259348823,0.6910490302214788,0.7432417745382909
53,0.8116823935249434,0.787871786311313,0.8331092163435765,0.7136023416871695,0.6864287976811876,0.7388857174993825
54,0.8090240450745342,0.7850952642354174,0.8305819416193508,0.7109027111385425,0.6836582836785609,0.73627049704386
55,0.8081379289243978,0.7841701474386839,0.8297391338453963,0.7091029574394576,0.681811944847712,0.734526362243792
56,0.8001541294070331,0.7758428529598377,0.8221376781571429,0.7055034500412874,0.6781208621816135,0.7310365353198901
57,0.7965939330581701,0.7721334114329864,0.8187439749051971,0.6992043120944904,0.6716665212787295,0.72492440202352
58,0.7930337367093064,0.768426918311865,0.8153473874768519,0.695600166155859,0.6679761071768908,0.7214247451199491
59,0.7921436876220909,0.7675007487597222,0.8144977966089106,0.6928970567018855,0.6652096459005022,0.7187986846295024
60,0.7912536385348751,0.7665747588953402,0.8136480298589128,0.6928970567018855,0.6652096459005022,0.7187986846295024
61,0.7894695266103321,0.7647188211824723,0.8119444016386935,0.6865815887371549,0.6587500594147989,0.7126593711502313
62,0.7894695266103321,0.7647188211824723,0.8119444016386935,0.6793639110631766,0.6513752157254507,0.7056356481193751
63,0.7858891659454327,0.7609955113299981,0.8085242471633253,0.676657281935435,0.6486116922603866,0.702999755907725
64,0.7823088052805329,0.7572750505201902,0.8051013145074026,0.6712367963658589,0.6430800880953845,0.6977181298346965
65,0.7823088052805329,0.7572750505201902,0.8051013145074026,0.6685265535810706,0.6403159290429404,0.6950757117103561
66,0.7814116621552113,0.7563430802265977,0.8042433236267503,0.6649128965346869,0.6366320708203668,0.6915508388592299
67,0.7787202327792463,0.7535482199552698,0.8016683275838205,0.6631060680114942,0.6347908599952141,0.6897877004045747
68,0.7778210177298475,0.7526146343361675,0.8008078088508174,0.6622026537498983,0.6338704332432433,0.6889059565355264
69,0.7751202503071745,0.7498114366226322,0.7982224517264227,,,
70,0.7733155465811978,0.7479388280532611,0.7964942962500406,0.6585889967035143,0.6301899113814824,0.6853778224137046
71,0.7715087345564757,0.7460645607609372,0.7947635861737694,0.655875031057758,0.6274267218365355,0.6827270941550868
72,0.7697019225317527,0.7441909822784318,0.7930322077031593,0.65225641019675,0.6237441162935093,0.6791911801796098
73,0.768796390858186,0.7432520811616009,0.7921643698799078,0.6504420669138657,0.6218980633703235,0.6774179140863329
74,0.7669853275110524,0.7413747932062672,0.7904281958126184,0.649534895272424,0.6209752136047,0.6765311085973242
75,0.7660776525672525,0.7404340182847579,0.7895579445047618,0.6486277236309819,0.6200524813243676,0.6756441884414665
76,0.7633546277358523,0.7376127176868909,0.7869461991797183,0.6459062087066563,0.6172849870920976,0.6729827421489524
77,0.7615392778482517,0.7357326966968686,0.7852042163284783,0.6440918654237725,0.6154405741781037,0.6712078752421082
