Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9905133928571432,0.9847839714070107,0.9940919314477092,0.9447544642857144,0.9331350279059688,0.954404248660014
2,0.9797776515768887,0.972074484755,0.9853719089600305,0.9200696683067526,0.9065148300370699,0.9317336378451053
3,0.9746834870106311,0.9662382850710147,0.9810369300572832,0.9020511680706345,0.8873143185307443,0.9149539780795707
4,0.9701474382054626,0.9611049546877383,0.977112736398936,0.8833057722606026,0.8674797576684014,0.8973549524273686
5,0.9639067236906913,0.9541182285724852,0.9716380060347602,0.8701986543496386,0.8536847135740395,0.8849760626882512
6,0.9593653492563423,0.9490780745036852,0.9676099134482682,0.8587712261900896,0.8416996990400668,0.8741415224091048
7,0.949703494435632,0.9384510196063152,0.9589439108103679,0.8473133045598017,0.8297177546785842,0.8632431391834647
8,0.9457203162085212,0.9341013005155417,0.9553398541485132,0.839825151630313,0.8219028243643052,0.856104745780833
9,0.9394421487502875,0.9272747875679362,0.949629363953832,0.8323163985552138,0.8140788502700673,0.8489342625493299
10,0.9354445225853929,0.9229457989766642,0.9459754862613604,0.8271035609859744,0.8086539959950039,0.8439494242862322
11,0.9320158926919826,0.9192428461093038,0.9428318238692475,0.8224601725734214,0.8038262908172521,0.839504584518952
12,0.9274415815622061,0.914315626981146,0.938624656420404,0.8148986575497619,0.795973682214494,0.8322573772913077
13,0.9240108482148731,0.910629532499452,0.9354600427114508,0.8044064001564171,0.7850959036891576,0.8221830433168613
14,0.9200083259763191,0.9063384557928744,0.9317587026694477,0.793323208276089,0.7736286605214653,0.8115185473923399
15,0.9137147366817049,0.8996096009774261,0.9259202819580978,0.783976248532041,0.7639747917984133,0.802507946338153
16,0.9091375808310767,0.8947292393751216,0.9216609088754192,0.7781125518339699,0.75792516986247,0.7968486188293199
17,0.9062714472218999,0.8916780731001304,0.9189888535479467,0.7716624854660926,0.7512774711580391,0.7906166183250373
18,0.9028299100805506,0.8880193245678786,0.9157753886806496,0.7640396797586008,0.7434300960697499,0.7832427130770014
19,0.9011080475692718,0.8861907286955901,0.914165689238183,0.7587582994837719,0.737998424592663,0.7781285585177473
20,0.8965164142058618,0.8813208448761061,0.9098668461746875,0.7546473799045257,0.7337733963344552,0.7741449644620367
21,0.8913508266720248,0.8758527619931537,0.9050202067533064,0.7470128149716394,0.7259338674970249,0.766740043149898
22,0.8890535307269939,0.8734242175877823,0.9028614781718242,0.7411354521473151,0.7199044530677838,0.7610338111865946
23,0.88733055876822,0.8716041369151882,0.9012411160115088,0.7370114869922829,0.7156762793997999,0.7570274306610194
24,0.8838823830217107,0.8679647522149903,0.8979951479894066,0.7334709994646982,0.7120479820044682,0.7535862367592743
25,0.8815835991907053,0.8655408890934696,0.8958287977985316,0.7275701869187228,0.7060048326252626,0.7478469812401829
26,0.878710119401948,0.862513667229309,0.8931182760856523,0.7210687473930478,0.6993516650791637,0.7415184903031279
27,0.8758347590635909,0.8594871298416474,0.890403308116036,0.7169280737000607,0.6951172275329198,0.7374851353575882
28,0.8683588221838622,0.851630742385602,0.8833318933692782,0.7110128255672221,0.6890720920351056,0.7317192198069219
29,0.8643279788448119,0.8474015624282949,0.8795123467821317,0.7080453262952386,0.6860406513258669,0.7288253918495102
30,0.8591420109717428,0.8419672168993241,0.8745914465540361,0.7027038276056686,0.6805870198870217,0.7236136017555718
31,0.8556846990563641,0.8383485690581932,0.8713066376221439,0.6973487603334829,0.6751225516347802,0.7183855552690985
32,0.8539537118027101,0.8365378704215864,0.8696609320323962,0.6913986855866102,0.6690552935714454,0.7125723349300422
33,0.8493377457929655,0.8317132797246852,0.8652684848157057,0.6890166057051754,0.6666274598843378,0.7102438993933585
34,0.8458757712856575,0.8280984944055924,0.8619705279216159,0.6848479659126636,0.6623804841897236,0.7061674405130207
35,0.8389518222710409,0.8208779541323762,0.8553656699449488,0.6806756980611507,0.6581318012424434,0.7020854709643013
36,0.8343358562612968,0.8160706931446853,0.8509560580680496,0.6759073919451352,0.6532788150486263,0.6974177668879308
37,0.8314488809801158,0.8130664601154424,0.8481957581153474,0.6729272006226257,0.6502471195794345,0.6944990602305999
38,0.8279845106426983,0.8094638793759095,0.8448809224826173,0.6705366954694366,0.647815740442349,0.6921574182091502
39,0.8250975353615175,0.8064637661461583,0.8421165406448485,0.6681397814552477,0.6453781951874662,0.6898091285071709
40,0.8239427452490451,0.8052642305016044,0.8410102828428445,0.664544410433964,0.6417231888863445,0.6862854118790309
41,0.8187461897429194,0.7998698495714426,0.8360286244598892,0.6603498109091323,0.6374609872912866,0.682172480567507
42,0.8141270292930302,0.7950795772388803,0.8315957917962289,0.6513532194798525,0.6283260395681362,0.6733445308067951
